comparison,cut_decks,penetration_pct,mode,rounds,scale_factor,ev_per_round,ci95_ev_per_round,sd_per_round,avg_initial_bet,ev_per_avg_bet_pct,n0_rounds
equal_avg_bet_to_exact,1.25,79.16666666666666,half,20000000,1.06841472826074,1.1514984897877603,0.0472331828416256,107.77204859954239,34.55944175,3.331936025233279,8759.625337536589
equal_sd_to_exact,1.25,79.16666666666666,half,20000000,1.0945067324459625,1.1796195018068754,0.04838667536825083,110.40397482512604,35.40342590234116,3.3319360252332793,8759.625337536587
raw,1.25,79.16666666666666,full,20000000,1.0,0.9252775836007505,0.03909902991740707,89.2123354587961,29.256635250000002,3.162624736898788,9296.20593627905
equal_avg_bet_to_exact,1.25,79.16666666666666,full,20000000,1.1812514137284462,1.092985453719627,0.046185784365347905,105.38219738271928,34.55944175,3.162624736898787,9296.205936279048
equal_sd_to_exact,1.25,79.16666666666666,full,20000000,1.2375415827569896,1.1450694852988355,0.04838667536825082,110.40397482512603,36.20630269342894,3.162624736898787,9296.20593627905
raw,1.5,75.0,exact,20000000,1.0,0.9682600133068282,0.04346385992618105,99.17157689741818,31.390779499999997,3.084536378928813,10490.361246467117
equal_avg_bet_to_exact,1.5,75.0,exact,20000000,1.0,0.9682600133068282,0.04346385992618105,99.17157689741818,31.390779499999997,3.084536378928813,10490.361246467117
equal_sd_to_exact,1.5,75.0,exact,20000000,1.0,0.9682600133068282,0.04346385992618105,99.17157689741818,31.390779499999997,3.084536378928813,10490.361246467117
raw,1.5,75.0,half,20000000,1.0,0.8182088551607413,0.039198585738984916,89.4394921777797,29.330949,2.789575117943648,11948.965263825476
equal_avg_bet_to_exact,1.5,75.0,half,20000000,1.070227202672508,0.8756693742605554,0.04195139276415229,95.72057752187482,31.390779499999994,2.789575117943648,11948.965263825472
equal_sd_to_exact,1.5,75.0,half,20000000,1.1088119407061696,0.9072397485937548,0.04346385992618105,99.17157689741818,32.522506483443685,2.789575117943648,11948.965263825474
raw,1.5,75.0,full,20000000,1.0,0.7170262144827385,0.03638645101491592,83.02303870338594,27.440550249999994,2.6130168963457234,13406.863327775869
equal_avg_bet_to_exact,1.5,75.0,full,20000000,1.143955905184518,0.8202463722296295,0.04162449550722027,94.97469539110114,31.390779499999997,2.6130168963457234,13406.863327775873
equal_sd_to_exact,1.5,75.0,full,20000000,1.194506710983269,0.85649262515056,0.04346385992618105,99.17157689741818,32.77792142669861,2.6130168963457234,13406.86332777587
raw,1.75,70.83333333333333,exact,20000000,1.0,0.7385619589636367,0.039236872300086725,89.5268507015025,28.848613749999995,2.560129805071264,14693.753353634576
equal_avg_bet_to_exact,1.75,70.83333333333333,exact,20000000,1.0,0.7385619589636367,0.039236872300086725,89.5268507015025,28.848613749999995,2.560129805071264,14693.753353634576
equal_sd_to_exact,1.75,70.83333333333333,exact,20000000,1.0,0.7385619589636367,0.039236872300086725,89.5268507015025,28.848613749999995,2.560129805071264,14693.753353634576
raw,1.75,70.83333333333333,half,20000000,1.0,0.6548692654855518,0.03611673001037288,82.40761574306168,27.382864500000004,2.391529438001461,15835.270311191665
equal_avg_bet_to_exact,1.75,70.83333333333333,half,20000000,1.0535279736712713,0.6899230902865872,0.03804998538346053,86.81872842886852,28.84861374999999,2.3915294380014616,15835.270311191667
equal_sd_to_exact,1.75,70.83333333333333,half,20000000,1.0863904979442416,0.7114437474192283,0.03923687230008673,89.52685070150251,29.7484837992947,2.3915294380014616,15835.270311191669
raw,1.75,70.83333333333333,full,20000000,1.0,0.5764105426771134,0.032895347564017505,75.05738091492373,25.451723249999997,2.2647210839726286,16955.983319000356
equal_avg_bet_to_exact,1.75,70.83333333333333,full,20000000,1.1334640671138052,0.6533406380300766,0.03728569443903348,85.07484423873954,28.84861374999999,2.264721083972628,16955.983319000352
equal_sd_to_exact,1.75,70.83333333333333,full,20000000,1.192778772856192,0.6875302597557791,0.039236872300086725,89.5268507015025,30.35827522521041,2.2647210839726286,16955.983319000356
raw,2.0,66.66666666666667,exact,20000000,1.0,0.6043847527158914,0.035384799577016346,80.73756859634119,26.565016500000002,2.2751152920077855,17845.319751745392
equal_avg_bet_to_exact,2.0,66.66666666666667,exact,20000000,1.0,0.6043847527158914,0.035384799577016346,80.73756859634119,26.565016500000002,2.2751152920077855,17845.319751745392
equal_sd_to_exact,2.0,66.66666666666667,exact,20000000,1.0,0.6043847527158914,0.035384799577016346,80.73756859634119,26.565016500000002,2.2751152920077855,17845.319751745392
raw,2.0,66.66666666666667,half,20000000,1.0,0.5513715994590705,0.03219439113216894,73.45800720994508,25.1468715,2.192605149547412,17749.638009406972
equal_avg_bet_to_exact,2.0,66.66666666666667,half,20000000,1.0563944902649223,0.5824659197571197,0.03400997740945715,77.60063408242692,26.565016500000002,2.192605149547412,17749.638009406975
equal_sd_to_exact,2.0,66.66666666666667,half,20000000,1.0990982693771003,0.6060115707491481,0.035384799577016346,80.73756859634119,27.638882945898327,2.192605149547412,17749.638009406972
raw,2.0,66.66666666666667,full,20000000,1.0,0.45593959025047304,0.02831086271703465,64.59695258872844,23.098739,1.973872211164744,20072.86905083359
equal_avg_bet_to_exact,2.0,66.66666666666667,full,20000000,1.1500634948080934,0.5243594785848291,0.032559289717385025,74.29059704814576,26.565016500000002,1.973872211164744,20072.869050833593
equal_sd_to_exact,2.0,66.66666666666667,full,20000000,1.2498665240506892,0.5698636308434543,0.035384799577016346,80.73756859634119,28.87034062388409,1.9738722111647442,20072.86905083359
